"행정구역별(시군구)","항목","단위","2010 년",
"송파구","여자","","328741",
"송파구","총외국인","","6238",
"송파구","남자","","2796",
"송파구","여자","","3442",
"강동구","총인구","","465958",
"강동구","남자","","231358",
"강동구","여자","","234600",
"강동구","총내국인","","462500",
"강동구","남자","","229839",
"강동구","여자","","232661",
"강동구","총외국인","","3458",
"강동구","남자","","1519",
"강동구","여자","","1939",
"부산광역시","총인구","","3414950",
"부산광역시","남자","","1676689",
"부산광역시","여자","","1738261",
"부산광역시","총내국인","","3393191",
"부산광역시","남자","","1664678",
"부산광역시","여자","","1728513",
"부산광역시","총외국인","","21759",
"부산광역시","남자","","12011",
"부산광역시","여자","","9748",
"중구","총인구","","48197",
"중구","남자","","23626",
"중구","여자","","24571",
"중구","총내국인","","47260",
"중구","남자","","22983",
"중구","여자","","24277",
"중구","총외국인","","937",
"중구","남자","","643",
"중구","여자","","294",
"서구","총인구","","116600",
"서구","남자","","56653",
"서구","여자","","59947",
"서구","총내국인","","116214",
"서구","남자","","56499",
"서구","여자","","59715",
"서구","총외국인","","386",
"서구","남자","","154",
"서구","여자","","232",
"동구","총인구","","93976",
"동구","남자","","45911",
"동구","여자","","48065",
"동구","총내국인","","93256",
"동구","남자","","45559",
"동구","여자","","47697",
"동구","총외국인","","720",
"동구","남자","","352",
"동구","여자","","368",
"영도구","총인구","","139723",
"영도구","남자","","69683",
"영도구","여자","","70040",
"영도구","총내국인","","138808",
"영도구","남자","","69178",
"영도구","여자","","69630",
"영도구","총외국인","","915",
"영도구","남자","","505",
"영도구","여자","","410",
"부산진구","총인구","","380395",
"부산진구","남자","","184779",
"부산진구","여자","","195616",
"부산진구","총내국인","","378965",
"부산진구","남자","","184200",
"부산진구","여자","","194765",
"부산진구","총외국인","","1430",
"부산진구","남자","","579",
"부산진구","여자","","851",
"동래구","총인구","","266147",
"동래구","남자","","129877",
"동래구","여자","","136270",
"동래구","총내국인","","265596",
"동래구","남자","","129666",
"동래구","여자","","135930",
"동래구","총외국인","","551",
