"행정구역(시군구)별(1)","행정구역(시군구)별(2)",연령별(1),2017. 07,2017. 07,2017. 07,2015,2015,2015,2016,2016,2016
"행정구역(시군구)별(1)","행정구역(시군구)별(2)",연령별(1),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"경기도","김포시",7세,4748,2420,2328,4388,2210,2178,4354,2236,2118
"경기도","화성시",0세,7265,3661,3604,7158,3656,3502,7474,3774,3700
"경기도","화성시",1세,8663,4399,4264,7795,3906,3889,8491,4346,4145
"경기도","화성시",2세,9205,4731,4474,8083,4246,3837,8624,4351,4273
"경기도","화성시",3세,9161,4710,4451,9303,4755,4548,8881,4656,4225
"경기도","화성시",4세,9818,5080,4738,9097,4664,4433,9939,5075,4864
"경기도","화성시",5세,9987,5092,4895,9122,4669,4453,9664,4967,4697
"경기도","화성시",6세,10384,5286,5098,8685,4472,4213,9694,4971,4723
"경기도","화성시",7세,9444,4853,4591,8845,4525,4320,9137,4685,4452
"경기도","광주시",0세,2977,1499,1478,3300,1709,1591,3169,1645,1524
"경기도","광주시",1세,3653,1909,1744,3484,1773,1711,3690,1934,1756
"경기도","광주시",2세,3695,1921,1774,3349,1702,1647,3614,1845,1769
"경기도","광주시",3세,3578,1855,1723,3710,1905,1805,3432,1742,1690
"경기도","광주시",4세,3601,1818,1783,3527,1824,1703,3814,1969,1845
"경기도","광주시",5세,3704,1944,1760,3402,1770,1632,3555,1846,1709
"경기도","광주시",6세,3641,1872,1769,2993,1530,1463,3348,1743,1605
"경기도","광주시",7세,3091,1581,1510,3108,1556,1552,3066,1558,1508
"경기도","양주시",0세,1504,782,722,1660,865,795,1512,778,734
"경기도","양주시",1세,1776,912,864,1861,961,900,1749,914,835
"경기도","양주시",2세,1877,993,884,1878,959,919,1876,969,907
"경기도","양주시",3세,1888,961,927,2265,1123,1142,1885,966,919
"경기도","양주시",4세,2172,1069,1103,2233,1140,1093,2285,1127,1158
"경기도","양주시",5세,2257,1169,1088,2196,1100,1096,2212,1123,1089
"경기도","양주시",6세,2274,1146,1128,2199,1121,1078,2179,1086,1093
"경기도","양주시",7세,2166,1087,1079,2243,1137,1106,2175,1107,1068
"경기도","포천시",0세,871,465,406,1052,539,513,980,517,463
"경기도","포천시",1세,1044,542,502,1051,531,520,1099,564,535
"경기도","포천시",2세,1108,549,559,1043,532,511,1083,550,533
"경기도","포천시",3세,1050,536,514,1282,656,626,1024,525,499
"경기도","포천시",4세,1119,560,559,1184,643,541,1262,636,626
"경기도","포천시",5세,1170,607,563,1217,632,585,1193,644,549
"경기도","포천시",6세,1192,638,554,1221,607,614,1210,623,587
"경기도","포천시",7세,1209,625,584,1251,646,605,1225,616,609
"경기도","여주시",0세,631,312,319,801,404,397,741,380,361
"경기도","여주시",1세,804,414,390,852,436,416,811,413,398
"경기도","여주시",2세,837,434,403,887,505,382,843,434,409
"경기도","여주시",3세,878,475,403,917,482,435,881,503,378
"경기도","여주시",4세,939,526,413,1004,520,484,918,478,440
"경기도","여주시",5세,930,470,460,952,474,478,1010,520,490
"경기도","여주시",6세,1018,504,514,926,492,434,957,474,483
"경기도","여주시",7세,893,472,421,911,492,419,937,498,439
"경기도","연천군",0세,365,205,160,373,186,187,392,195,197
"경기도","연천군",1세,391,195,196,393,195,198,382,190,192
"경기도","연천군",2세,337,159,178,394,202,192,365,172,193
"경기도","연천군",3세,381,178,203,383,199,184,385,196,189
"경기도","연천군",4세,380,215,165,343,182,161,378,197,181
"경기도","연천군",5세,319,161,158,349,168,181,350,189,161
"경기도","연천군",6세,370,194,176,283,155,128,338,166,172
"경기도","연천군",7세,302,153,149,313,166,147,282,153,129
"경기도","가평군",0세,358,190,168,353,176,177,359,208,151
"경기도","가평군",1세,385,199,186,356,178,178,369,181,188
"경기도","가평군",2세,375,193,182,363,193,170,351,175,176
"경기도","가평군",3세,373,197,176,460,223,237,377,201,176
"경기도","가평군",4세,376,193,183,449,215,234,463,220,243
"경기도","가평군",5세,476,230,246,461,234,227,460,224,236
"경기도","가평군",6세,469,228,241,408,210,198,453,235,218
"경기도","가평군",7세,431,222,209,460,237,223,416,213,203
"경기도","양평군",0세,611,322,289,601,310,291,618,314,304
"경기도","양평군",1세,699,355,344,700,373,327,707,369,338
"경기도","양평군",2세,748,373,375,749,372,377,760,401,359
"경기도","양평군",3세,800,415,385,811,424,387,778,381,397
"경기도","양평군",4세,808,401,407,859,442,417,869,470,399
"경기도","양평군",5세,924,488,436,840,426,414,889,459,430
"경기도","양평군",6세,944,507,437,851,440,411,871,442,429
"경기도","양평군",7세,892,445,447,898,461,437,908,471,437
