"행정구역(시군구)별(1)","행정구역(시군구)별(2)",연령별(1),2017. 07,2017. 07,2017. 07,2015,2015,2015,2016,2016,2016
"행정구역(시군구)별(1)","행정구역(시군구)별(2)",연령별(1),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"경기도","의정부시",0세,2693,1398,1295,3172,1656,1516,2949,1491,1458
"경기도","의정부시",1세,3310,1660,1650,3336,1720,1616,3476,1787,1689
"경기도","의정부시",2세,3590,1831,1759,3494,1830,1664,3501,1779,1722
"경기도","의정부시",3세,3505,1822,1683,3971,2056,1915,3604,1870,1734
"경기도","의정부시",4세,3768,1921,1847,3842,1954,1888,4007,2046,1961
"경기도","의정부시",5세,4004,2026,1978,3934,2016,1918,3867,1970,1897
"경기도","의정부시",6세,3933,2050,1883,3689,1858,1831,3986,2038,1948
"경기도","의정부시",7세,3794,1944,1850,3854,1985,1869,3724,1878,1846
"경기도","안양시",0세,4155,2147,2008,4919,2458,2461,4601,2309,2292
"경기도","안양시",1세,4831,2445,2386,5015,2576,2439,5073,2514,2559
"경기도","안양시",2세,4984,2509,2475,4718,2400,2318,4946,2547,2399
"경기도","안양시",3세,4851,2451,2400,5205,2667,2538,4707,2405,2302
"경기도","안양시",4세,4823,2448,2375,5218,2680,2538,5241,2704,2537
"경기도","안양시",5세,5237,2733,2504,5197,2723,2474,5214,2666,2548
"경기도","안양시",6세,5279,2708,2571,4811,2464,2347,5158,2699,2459
"경기도","안양시",7세,4857,2490,2367,5188,2669,2519,4752,2452,2300
"경기도","만안구",0세,1765,904,861,1917,958,959,1951,949,1002
"경기도","만안구",1세,2090,1034,1056,1955,1010,945,2095,1042,1053
"경기도","만안구",2세,2087,1063,1024,1919,972,947,2030,1046,984
"경기도","만안구",3세,2029,1021,1008,2043,1071,972,1928,978,950
"경기도","만안구",4세,1943,989,954,1965,993,972,2102,1100,1002
"경기도","만안구",5세,2050,1074,976,1943,1009,934,1963,1007,956
"경기도","만안구",6세,1981,1029,952,1723,881,842,1910,987,923
"경기도","만안구",7세,1803,934,869,1893,979,914,1700,875,825
"경기도","동안구",0세,2390,1243,1147,3002,1500,1502,2650,1360,1290
"경기도","동안구",1세,2741,1411,1330,3060,1566,1494,2978,1472,1506
"경기도","동안구",2세,2897,1446,1451,2799,1428,1371,2916,1501,1415
"경기도","동안구",3세,2822,1430,1392,3162,1596,1566,2779,1427,1352
"경기도","동안구",4세,2880,1459,1421,3253,1687,1566,3139,1604,1535
"경기도","동안구",5세,3187,1659,1528,3254,1714,1540,3251,1659,1592
"경기도","동안구",6세,3298,1679,1619,3088,1583,1505,3248,1712,1536
"경기도","동안구",7세,3054,1556,1498,3295,1690,1605,3052,1577,1475
"경기도","부천시",0세,5972,3065,2907,6578,3347,3231,6341,3262,3079
"경기도","부천시",1세,6724,3465,3259,6993,3556,3437,6893,3530,3363
"경기도","부천시",2세,7057,3602,3455,6765,3503,3262,7040,3577,3463
"경기도","부천시",3세,6803,3473,3330,7489,3871,3618,6811,3525,3286
"경기도","부천시",4세,7193,3718,3475,7349,3741,3608,7499,3893,3606
"경기도","부천시",5세,7352,3764,3588,7249,3692,3557,7321,3691,3630
"경기도","부천시",6세,7377,3755,3622,6890,3558,3332,7176,3649,3527
"경기도","부천시",7세,6825,3498,3327,7161,3663,3498,6868,3517,3351
"경기도","원미구",0세,-,-,-,3770,1924,1846,-,-,-
"경기도","원미구",1세,-,-,-,3853,1924,1929,-,-,-
"경기도","원미구",2세,-,-,-,3774,1966,1808,-,-,-
"경기도","원미구",3세,-,-,-,3999,2078,1921,-,-,-
"경기도","원미구",4세,-,-,-,3954,2019,1935,-,-,-
"경기도","원미구",5세,-,-,-,3863,1955,1908,-,-,-
"경기도","원미구",6세,-,-,-,3671,1882,1789,-,-,-
"경기도","원미구",7세,-,-,-,3876,1952,1924,-,-,-
"경기도","소사구",0세,-,-,-,1651,820,831,-,-,-
"경기도","소사구",1세,-,-,-,1819,950,869,-,-,-
"경기도","소사구",2세,-,-,-,1720,861,859,-,-,-
"경기도","소사구",3세,-,-,-,1954,1009,945,-,-,-
"경기도","소사구",4세,-,-,-,1903,975,928,-,-,-
"경기도","소사구",5세,-,-,-,1931,966,965,-,-,-
"경기도","소사구",6세,-,-,-,1844,938,906,-,-,-
"경기도","소사구",7세,-,-,-,1861,946,915,-,-,-
"경기도","오정구",0세,-,-,-,1157,603,554,-,-,-
"경기도","오정구",1세,-,-,-,1321,682,639,-,-,-
"경기도","오정구",2세,-,-,-,1271,676,595,-,-,-
"경기도","오정구",3세,-,-,-,1536,784,752,-,-,-
"경기도","오정구",4세,-,-,-,1492,747,745,-,-,-
"경기도","오정구",5세,-,-,-,1455,771,684,-,-,-
"경기도","오정구",6세,-,-,-,1375,738,637,-,-,-
"경기도","오정구",7세,-,-,-,1424,765,659,-,-,-
"경기도","광명시",0세,2396,1253,1143,3172,1624,1548,2769,1412,1357
"경기도","광명시",1세,2921,1511,1410,3204,1632,1572,3095,1581,1514
"경기도","광명시",2세,2971,1521,1450,3270,1680,1590,3075,1591,1484
"경기도","광명시",3세,2956,1521,1435,3676,1901,1775,3072,1563,1509
"경기도","광명시",4세,3143,1612,1531,3630,1883,1747,3486,1797,1689
"경기도","광명시",5세,3371,1756,1615,3516,1798,1718,3426,1791,1635
"경기도","광명시",6세,3425,1762,1663,3400,1792,1608,3401,1734,1667
"경기도","광명시",7세,3156,1646,1510,3666,1868,1798,3287,1725,1562
"경기도","평택시",0세,3802,1973,1829,4399,2275,2124,4152,2134,2018
"경기도","평택시",1세,4579,2330,2249,4553,2326,2227,4680,2427,2253
"경기도","평택시",2세,4810,2485,2325,4535,2256,2279,4662,2365,2297
"경기도","평택시",3세,4660,2368,2292,5061,2604,2457,4567,2263,2304
"경기도","평택시",4세,4865,2432,2433,4872,2503,2369,5130,2660,2470
"경기도","평택시",5세,5011,2597,2414,4894,2563,2331,4952,2546,2406
"경기도","평택시",6세,5270,2705,2565,4747,2416,2331,4953,2585,2368
"경기도","평택시",7세,4801,2496,2305,4859,2480,2379,4805,2428,2377
"경기도","동두천시",0세,613,323,290,743,393,350,693,361,332
"경기도","동두천시",1세,711,362,349,809,406,403,753,388,365
"경기도","동두천시",2세,788,405,383,843,434,409,816,419,397
